番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
60,69,A,69-A-060,雄が交接囊を有する線虫はどれか。（2つ選びなさい。）,猫鉤虫(Ancylostoma tubaeforme),犬回虫(Toxocara canis),ネズミ盲腸蟯虫(Syphacia obvelata),ハエ馬胃虫(Habronema muscae),牛捻転胃虫(Mecistocirrus digitatus),2,"1, 5","猫鉤虫(Ancylostoma tubaeforme),牛捻転胃虫(Mecistocirrus digitatus)"
61,69,A,69-A-061,虫卵内にコラシジウムが発育する条虫はどれか。,マンソン裂頭条虫(Spirometra erinaceieuropaei),瓜実条虫(Dipylidium caninum),葉状条虫(Anoplocephala perfoliata),ベネデン条虫(Moniezia benedeni),縮小条虫(Hymenolepis diminuta),1,1,マンソン裂頭条虫(Spirometra erinaceieuropaei)
62,69,A,69-A-062,気管型移行を行う線虫はどれか。（2つ選びなさい。）,馬蟯虫(Oxyuris equi),鶏盲腸虫(Heterakis gallinarum),豚回虫(Ascaris suum),犬鉤虫(Ancylostoma caninum),牛鞭虫(Trichuris discolor),4,"3, 4","豚回虫(Ascaris suum),犬鉤虫(Ancylostoma caninum)"
63,69,A,69-A-063,生活環においてカワニナが中間宿主となる吸虫はどれか。（2つ選びなさい。）,横川吸虫(Metagonimus yokogawai),浅田棘口吸虫(Echinostoma hortense),巨大肝蛭(Fasciola gigantica),平腹双口吸虫(Homalogaster paloniae),ウエステルマン肺吸虫(Paragonimus westermani),2,"1, 5","横川吸虫(Metagonimus yokogawai),ウエステルマン肺吸虫(Paragonimus westermani)"
64,69,A,69-A-064,生活環においてシストを形成しないのはどれか。,ランブル鞭毛虫(Giardia intestinalis),赤痢アメーバ(Entamoeba histolytica),大腸バランチジウム(Balantidium coli),腸トリコモナス(Pentatrichomonas hominis),バクストネラ(Buxtonella sulcata),4,4,腸トリコモナス(Pentatrichomonas hominis)
65,69,A,69-A-065,一生を宿主体表上で過ごすのはどれか。,アカツツガムシ(Leptotrombidium akamushi),オウシマダニ(Rhipicephalus(Boophilus) microplus),トリサシダニ(Ornithonyssus sylviarum),ミツバチヘギイタダニ(Varroa destructor),ワクモ(Dermanyssus gallinae),3,3,トリサシダニ(Ornithonyssus sylviarum)
66,69,A,69-A-066,貯留液の説明として適切なのはどれか。（2つ選びなさい。）,漏出液の比重は滲出液より高い。,変性漏出液中には細胞はほとんど認められない。,変性漏出液の比重は1.005以下である。,"滲出液中には多数の細胞(>5,000 /μl)が含まれる。",滲出液の蛋白濃度は漏出液より高い。,5,"4, 5","滲出液中には多数の細胞(>5,000 /μl)が含まれる。,滲出液の蛋白濃度は漏出液より高い。"
67,69,A,69-A-067,連続性雑音を特徴とする心臓病はどれか。,心室中隔欠損症,ファロー四徴症,動脈管開存症,僧帽弁閉鎖不全症,肺動脈狭窄症,3,3,動脈管開存症
68,69,A,69-A-068,細胞診における腫瘍細胞の悪性所見として適切でないのはどれか。,核/細胞質比が小さい,核形態の不整,異型な核分裂,大小複数の核小体,細胞の大小不同,1,1,核/細胞質比が小さい
69,69,A,69-A-069,ビタミンK依存性凝固因子でないのはどれか。,第II因子,第VII因子,第VIII因子,第IX因子,第X因子,3,3,第VIII因子
70,69,A,69-A-070,日本の肥育牛の尿石症の結石成分で最も多いのはどれか。,リン酸アンモニウムマグネシウム,リン酸カルシウム,シュウ酸カルシウム,尿酸塩,ケイ酸塩,1,1,リン酸アンモニウムマグネシウム
71,69,A,69-A-071,X線発生装置の陽極に用いられる金属はどれか。（2つ選びなさい。）,アルミニウム,モリブデン,タングステン,鉛,鉄,3,"2, 3","モリブデン,タングステン"
72,69,A,69-A-072,CT画像で認められるアーチファクトとして誤っているのはどれか。,ビームハードニング,多重反射,部分体積効果(パーシャルボリュームアーチファクト),動きによるぶれ(モーションアーチファクト),星状アーチファクト,2,2,多重反射
73,69,A,69-A-073,"局所麻酔法とその適応の組合せとして適当でないのはどれか。
局所麻酔法　－　適応",腕神経叢ブロック 　－　橈尺骨の手術,肋間神経ブロック 　－　肋間開胸術,眼窩下神経ブロック 　－　眼球摘出術,大腿神経+坐骨神経ブロック 　－　膝関節の手術,腰仙椎硬膜外麻酔 　－　肛門周囲の手術,3,3,眼窩下神経ブロック 　－　眼球摘出術
74,69,A,69-A-074,"正しく気管挿管されているか挿管直後に確認するのに最も有用な指標はどれ
か。",心電図,平均動脈圧,動脈血酸素飽和度,終末呼気二酸化炭素濃度,心拍数,4,4,終末呼気二酸化炭素濃度
75,69,A,69-A-075,"犬や猫において変形性関節症による慢性疼痛を治療する際の第一選択薬として
適切なのはどれか。",局所麻酔薬,非ステロイド性抗炎症薬,中枢性筋弛緩薬,オピオイド,鎮静薬,2,2,非ステロイド性抗炎症薬
76,69,A,69-A-076,腸吻合において抗張力に最も寄与する層はどれか。,漿膜,筋層,粘膜下組織,粘膜上皮,14のどの層も同程度,3,3,粘膜下組織
77,69,A,69-A-077,馬のさく癖に関する記述として適当なのはどれか。,馬栓棒などに切歯をかけ、顎を引きながら空気を嚥下する行動,馬房の中で立ったままで自分の体を左右に揺らす行動,通りすがりの人を後肢で突然蹴り上げる行動,柵や水飲み器などを持続的に舐める行動,他個体の側腹部を鼻で押しつけるようにして舐める行動,1,1,馬栓棒などに切歯をかけ、顎を引きながら空気を嚥下する行動
78,69,A,69-A-078,次のうち発情持続時間が最も長い動物はどれか。,山羊,牛,馬,めん羊,豚,3,3,馬
79,69,A,69-A-079,牛の発情期における生殖器の変化として誤っているのはどれか。,子宮が触診の刺激に反応して強く収縮する。,子宮頚管に充血がみられる。,透明で牽糸性の高い粘液が腟内に分泌される。,卵管の運動性が増加する。,外子宮口が緊縮する。,5,5,外子宮口が緊縮する。
80,69,A,69-A-080,性染色体が必ずキメラ核型を呈する牛の疾患はどれか。,半陰陽,腟弁遺残,重複外子宮口,ホワイトヘイファー病,フリーマーチン,5,5,フリーマーチン
1,70,A,70-A-001,哺乳類家畜の支持組織に関する記述として誤っているのはどれか。,関節軟骨や骨端軟骨(骨端板)は弾性軟骨からなる。,前頭骨や側頭骨は膜内骨化によって作られる。,椎骨や四肢骨は軟骨内骨化によって作られる。,骨芽細胞は自ら分泌した骨基質に埋没し骨細胞へ分化する。,破骨細胞は骨基質を吸収し浸食窩(ハウシップ窩)を作る。,1,1,関節軟骨や骨端軟骨(骨端板)は弾性軟骨からなる。
2,70,A,70-A-002,犬において肘関節の屈筋はどれか。（2つ選びなさい。）,上腕三頭筋,上腕二頭筋,上腕筋,円回内筋,肘筋,3,"2, 3","上腕二頭筋,上腕筋"
3,70,A,70-A-003,哺乳類家畜において毛様体筋を支配する副交感神経を含む神経はどれか。,動眼神経,顔面神経,舌咽神経,迷走神経,舌下神経,1,1,動眼神経
4,70,A,70-A-004,哺乳類家畜において内胚葉から生じる器官はどれか。（2つ選びなさい。）,腺性下垂体,神経性下垂体,上皮小体,甲状腺,副腎髄質,4,"3, 4","上皮小体,甲状腺"
5,70,A,70-A-005,犬において腹腔動脈から枝分かれする動脈はどれか。,腎動脈,前腸間膜動脈,脾動脈,後腸間膜動脈,内腸骨動脈,3,3,脾動脈
6,70,A,70-A-006,馬において終止腱が総踵骨腱を構成する筋はどれか。,半膜様筋,浅趾屈筋,大腿四頭筋,深趾屈筋,長腓骨筋,2,2,浅趾屈筋
8,70,A,70-A-008,雌の生殖器に関する記述として正しいのはどれか。,哺乳類家畜の子宮および膣は膀胱の背側にある。,哺乳類家畜の外尿道口は膣の中央部分に見られる。,馬の子宮角内面には子宮小丘が見られる。,馬では内子宮口周辺に膣円蓋が見られる。,犬の卵巣はその一部のみが卵巣嚢で包まれている。,1,1,哺乳類家畜の子宮および膣は膀胱の背側にある。
9,70,A,70-A-009,哺乳類家畜の髄膜に関する記述として正しいのはどれか。,脳の髄膜には硬膜上腔が見られる。,クモ膜顆粒はクモ膜下腔に向かって突出する。,小脳延髄槽はクモ膜下腔が拡大した部位である。,膜性小脳テントは小脳と延髄の間に見られる。,硬膜は脳脊髄のグリア限界膜に直接付着する。,3,3,小脳延髄槽はクモ膜下腔が拡大した部位である。
10,70,A,70-A-010,皮膚腺に関する記述として正しいのはどれか。,肛門傍洞腺は豚で発達している。,手根腺は犬で発達している。,肛門周囲腺は豚で発達している。,尾腺は牛で発達している。,口周囲腺は猫で発達している。,5,5,口周囲腺は猫で発達している。
11,70,A,70-A-011,哺乳類家畜の平衡聴覚器に関する記述として正しいのはどれか。,耳道腺は中耳に存在する。,ツチ骨は鼓膜に直接接する。,キヌタ骨は前庭窓を閉塞する。,耳管は全長にわたって骨質で取り囲まれている。,蝸牛神経は三半規管に連絡する。,2,2,ツチ骨は鼓膜に直接接する。
12,70,A,70-A-012,哺乳類家畜の筋細胞に関する記述として正しいのはどれか。,平滑筋細胞にはミオシンフィラメントがない。,平滑筋細胞には核が複数個存在する。,骨格筋細胞では核は細胞膜直下に見られる。,骨格筋細胞は隣り合う細胞と介在板で結合している。,伝導心筋細胞(プルキンエ細胞)は脂肪を大量に貯蔵している。,3,3,骨格筋細胞では核は細胞膜直下に見られる。
13,70,A,70-A-013,レニン-アンギオテンシン系に関する記述として適切なのはどれか。（2つ選びなさい。）,血圧上昇機構である。,アンギオテンシン変換酵素はアンギオテンシノーゲンからアンギオテンシンI,アンギオテンシンIIは血管拡張作用を有する。,アンギオテンシノーゲンは肺で産生される。,レニンは腎臓で産生される。,2,"1, 5","血圧上昇機構である。,レニンは腎臓で産生される。"
14,70,A,70-A-014,性分化に関する記述として適切なのはどれか。,生殖腺隆起の皮質部が発達して精巣になる。,テストステロンはウォルフ管を精管に発達させる。,抗ミュラー管ホルモンはライディッヒ細胞から分泌される。,未分化の生殖腺内でSRY遺伝子発現が抑制されると精巣に分化する。,ミュラー管が発達して卵巣になる。,2,2,テストステロンはウォルフ管を精管に発達させる。
15,70,A,70-A-015,副交感神経系が活性化したときにみられる現象はどれか。（2つ選びなさい。）,散瞳,気管支の拡張,心拍数の増加,雄性性器の勃起,排尿筋の収縮,5,"4, 5","雄性性器の勃起,排尿筋の収縮"
16,70,A,70-A-016,フィブリンの架橋を形成して凝血塊を安定化させる作用をもつのはどれか。,ヘパリン,プラスミン,第X因子,第XIII因子,カリクレイン,4,4,第XIII因子
17,70,A,70-A-017,"胃や小腸で分泌される物質とその産生細胞の組み合わせはどれか。
物質 細胞（2つ選びなさい。）",ソマトスタチン 　－　K細胞,コレシストキニン 　－　I 細胞,セクレチン 　－　S 細胞,ヒスタミン 　－　L 細胞,ガストリン 　－　D細胞,3,"2, 3","コレシストキニン 　－　I 細胞,セクレチン 　－　S 細胞"
18,70,A,70-A-018,糖質コルチコイドの作用はどれか。（2つ選びなさい。）,肝臓での糖新生の促進,骨格筋でのタンパク質分解の促進,ストレスの増加,副腎皮質刺激ホルモン分泌の促進,リンパ球数の増加,1,"1, 2","肝臓での糖新生の促進,骨格筋でのタンパク質分解の促進"
19,70,A,70-A-019,反芻動物における糖脂質代謝の特性として誤っているのはどれか。,非反芻動物と比べ血中グルコース濃度は高い。,揮発性脂肪酸がインスリンの分泌刺激になる。,非反芻動物と比べ血中トリグリセリド濃度は低い。,体内のグルコースのほとんどは糖新生により作られる。,揮発性脂肪酸は第一胃で吸収される。,1,1,非反芻動物と比べ血中グルコース濃度は高い。
20,70,A,70-A-020,呼吸に関する記述として適切なのはどれか。（2つ選びなさい。）,低換気状態はアシドーシスの原因となる。,サーファクタントは肺胞の表面張力を増大させる。,安静呼吸時の1回の吸息時に肺に入る空気量を肺活量という。,肺胞以外の全呼吸器系のガス量を生理学的死腔という。,肺線維症では肺のコンプライアンスが低下する。,2,"1, 5","低換気状態はアシドーシスの原因となる。,肺線維症では肺のコンプライアンスが低下する。"
21,70,A,70-A-021,"小腸や近位尿細管において、管腔から上皮細胞内へのグルコース輸送に関わる
のはどれか。",チャネル,ポンプ,ユニポータ(単輸送体),シンポータ(共輸送体),アンチポータ(交換輸送体),4,4,シンポータ(共輸送体)
22,70,A,70-A-022,イオンチャネル内蔵型受容体はどれか。,インスリン受容体,γ-アミノ酪酸(GABA)受容体,ステロイドホルモン受容体,甲状腺ホルモン受容体,ムスカリン受容体,2,2,γ-アミノ酪酸(GABA)受容体
23,70,A,70-A-023,メラトニンの前駆物質はどれか。,アセチルコリン,チロシン,セロトニン,コレステロール,カテコールアミン,3,3,セロトニン
24,70,A,70-A-024,太い筋フィラメントの主構成タンパク質はどれか。,ミオシン,アクチン,トロポミオシン,トロポニン,コネクチン,1,1,ミオシン
25,70,A,70-A-025,哺乳類細胞の転写・翻訳に関する記述として適切なのはどれか。（2つ選びなさい。）,mRNAはRNAポリメラーゼIによって合成される。,mRNAは3′→5′方向に合成される。,RNAスプライシングは細胞質で行われる。,アミノアシルtRNAの合成にはATPが必要である。,翻訳の開始コドンはメチオニンをコードする。,5,"4, 5","アミノアシルtRNAの合成にはATPが必要である。,翻訳の開始コドンはメチオニンをコードする。"
26,70,A,70-A-026,薬物の吸収と分布に関する記述で適切なのはどれか。（2つ選びなさい。）,非解離型(分子型)の薬物は能動輸送で細胞膜を透過する。,解離型(イオン型)の薬物は受動拡散で細胞膜を透過する。,血漿タンパク質に結合した薬物は濾過されない。,促進(促通)拡散はATPの消費を必要としない。,塩基性の薬物は胃から吸収されやすい。,4,"3, 4","血漿タンパク質に結合した薬物は濾過されない。,促進(促通)拡散はATPの消費を必要としない。"
27,70,A,70-A-027,"γ-アミノ酪酸(GABA)受容体とグルタミン酸受容体(Cl−チャネル)に特
異的な結合をすることによってCl−流入を阻止する殺虫薬はどれか。",ルフェヌロン,プロポクスル,ペルメトリン,フィプロニル,ピリプロキシフェン,4,4,フィプロニル
28,70,A,70-A-028,"抗不整脈薬と作用機序の組み合わせで正しいのはどれか。
抗不整脈薬 作用機序（2つ選びなさい。）",ベラパミル 　－　カルシウム感受性増大,プロプラノロール 　－　αアドレナリン受容体遮断,ジルチアゼム 　－　βアドレナリン受容体遮断,アミオダロン 　－　カリウムチャネル遮断,キニジン 　－　ナトリウムチャネル遮断,5,"4, 5","アミオダロン 　－　カリウムチャネル遮断,キニジン 　－　ナトリウムチャネル遮断"
29,70,A,70-A-029,フェノバルビタールに関する記述として適当なのはどれか。（2つ選びなさい。）,抗てんかん薬として使用される。,短時間作用型バルビツール酸誘導体である。,主にグリシン受容体に作用する。,シトクロームP450(CYP)を阻害する。,Cl−チャネルの開口時間を延長する。,2,"1, 5","抗てんかん薬として使用される。,Cl−チャネルの開口時間を延長する。"
30,70,A,70-A-030,サルファ薬に関する記述はどれか。（2つ選びなさい。）,ジヒドロプテロイン酸合成酵素を阻害する。,静菌的な抗菌活性を示す。,β-ラクタム系抗菌薬との併用で相乗効果を示す。,代表的な薬物にトリメトプリムがある。,リケッチアおよび原虫には無効である。,1,"1, 2","ジヒドロプテロイン酸合成酵素を阻害する。,静菌的な抗菌活性を示す。"
31,70,A,70-A-031,アセトアミノフェンに関する記述として誤っているのはどれか。,一般用医薬品に含まれる解熱鎮痛薬である。,肝臓でグルクロン酸抱合あるいは硫酸抱合により代謝される。,過剰摂取によりグルタチオンが枯渇して肝毒性を示す。,猫ではメトヘモグロビン血症などの血液毒性が起きやすい。,グルタチオンと結合して毒性が増強する。,5,5,グルタチオンと結合して毒性が増強する。
32,70,A,70-A-032,芽胞およびウイルスに対して有効な消毒薬はどれか。,ヒビテン,グルタルアルデヒド,クレゾール石鹸液,ベンザルコニウム塩化物,エタノール,2,2,グルタルアルデヒド
33,70,A,70-A-033,トウゴマの種子に含まれる植物毒はどれか。,リシン,ホルボールエステル,シロシビン,ファロイジン,コルヒチン,1,1,リシン
34,70,A,70-A-034,体内で活性酸素を産生し呼吸器障害を起こす農薬はどれか。,ジクロルボス,クマリン誘導体,パラコート,カルバリル,マラチオン,3,3,パラコート
35,70,A,70-A-035,突然変異(変異原性)試験はどれか。（2つ選びなさい。）,小核試験,コメットアッセイ,マウスリンフォーマ試験,Ames試験,不定期DNA合成(UDS)試験,4,"3, 4","マウスリンフォーマ試験,Ames試験"
36,70,A,70-A-036,重篤な心毒性により販売中止となった抗ヒスタミン薬はどれか。,ジフェンヒドラミン,ジギトキシン,ドキソルビシン,テルフェナジン,ファモチジン,4,4,テルフェナジン
37,70,A,70-A-037,分離腫はどれか。,類皮腫,脊索腫,癌肉腫,奇形腫,断端神経腫,1,1,類皮腫
38,70,A,70-A-038,胚細胞由来の腫瘍はどれか。,肝芽腫,精上皮腫,扁平上皮癌,カルチノイド,未分化癌,2,2,精上皮腫
39,70,A,70-A-039,メラニン色素の証明に有用な染色法はどれか。,グリメリウス法,フォンタナ・マッソン染色,リンタングステン酸ヘマトキシリン(PTAH)染色,過ヨウ素酸メセナミン銀(PAM)染色,グロコット染色,2,2,フォンタナ・マッソン染色
40,70,A,70-A-040,細胞質内に封入体を形成する病原体として正しいのはどれか。（2つ選びなさい。）,A型インフルエンザウイルス,パピローマウイルス,犬アデノウイルス1型,Chlamydophila pecorum,犬ジステンパーウイルス,5,"4, 5","Chlamydophila pecorum,犬ジステンパーウイルス"
41,70,A,70-A-041,ショックの原因として適当でないのはどれか。,広範な熱傷,大量出血,心タンポナーデ,II型アレルギー反応,グラム陰性桿菌の感染,4,4,II型アレルギー反応
42,70,A,70-A-042,催奇形性を示すウイルスとして適当でないのはどれか。,豚コレラウイルス,豚パルボウイルス,牛ウイルス性下痢ウイルス,アカバネウイルス,チュウザンウイルス,2,2,豚パルボウイルス
43,70,A,70-A-043,化膿性肉芽腫性肺炎を引き起こす疾患はどれか。,豚流行性肺炎,グレーサー病,子牛のパスツレラ症,ロドコッカス・エクイ感染症,羊の慢性進行性肺炎(マエディ・ビスナ),4,4,ロドコッカス・エクイ感染症
44,70,A,70-A-044,欠乏すると鶏のひなの小脳に軟化症を起こす物質はどれか。,ビタミンE(トコフェロール),銅,鉄,ビタミンB (チアミン),カルシウム,1,1,ビタミンE(トコフェロール)
45,70,A,70-A-045,病態の発生に免疫複合体が関与するものはどれか。,接触性皮膚炎,犬糸状虫症における膜性糸球体腎炎,尋常性天疱瘡,自己免疫性溶血性貧血,気管支喘息,2,2,犬糸状虫症における膜性糸球体腎炎
46,70,A,70-A-046,ヨーネ菌及びヨーネ病に関する記述で正しいのはどれか。,増殖性腸炎の原因菌である。,届出伝染病である。,ツベルクリン反応で診断する。,原形質に多量の脂質を持つ。,培地にはマイコバクチンを添加する。,5,5,培地にはマイコバクチンを添加する。
47,70,A,70-A-047,Staphylococcus aureusに関する記述で誤っているのはどれか。,芽胞を形成する。,皮膚や粘膜の常在細菌である。,嫌気培養できる。,コアグラーゼを産生する。,エンテロトキシンを産生する。,1,1,芽胞を形成する。
48,70,A,70-A-048,牛RSウイルスに関する記述について適切なのはどれか。,気管粘膜上皮細胞に合胞体を形成する。,オルトミクソウイルス科に属する。,分節型ウイルスである。,核内で複製を行う。,2本鎖RNAウイルスである。,1,1,気管粘膜上皮細胞に合胞体を形成する。
49,70,A,70-A-049,家きんコレラの病原体について正しい記述はどれか。（2つ選びなさい。）,グラム陽性菌である。,運動性がある。,偏性嫌気性である。,両端染色性である。,莢膜をもつ。,5,"4, 5","両端染色性である。,莢膜をもつ。"
50,70,A,70-A-050,マイコバクテリウム属菌に関する記述として正しいのはどれか。（2つ選びなさい。）,グラム陰性桿菌である。,芽胞を形成する。,莢膜を持たない。,抗酸性である。,運動性がある。,4,"3, 4","莢膜を持たない。,抗酸性である。"
51,70,A,70-A-051,インフルエンザウイルスのvon Magnus現象はどれか。,自己干渉,相補,増強,遺伝子再集合,表現型干渉,1,1,自己干渉
52,70,A,70-A-052,エンベロープを持たないウイルス科はどれか。,ヘルペスウイルス,カリシウイルス,フラビウイルス,ポックスウイルス,アスファウイルス,2,2,カリシウイルス
53,70,A,70-A-053,ゲノムサイズが100 kbp以上のウイルス科はどれか。（2つ選びなさい。）,ヘルペスウイルス,アデノウイルス,パピローマウイルス,ポリオーマウイルス,アスファウイルス,2,"1, 5","ヘルペスウイルス,アスファウイルス"
54,70,A,70-A-054,グラム陽性桿菌はどれか。,Pseudomonas aeruginosa,Streptococcus suis,Vibrio cholerae,Bordetella bronchiseptica,Corynebacterium renale,5,5,Corynebacterium renale
55,70,A,70-A-055,トランスポゾンによる細菌ゲノムの変異として適切でないのはどれか。,欠失,挿入,複製,重複,逆位,3,3,複製
56,70,A,70-A-056,炭疽の検査法として溶菌反応を利用したものはどれか。,ファージテスト,莢膜染色,アスコリー試験,コアグラーゼ試験,パールテスト,1,1,ファージテスト
57,70,A,70-A-057,フィロウイルス科のウイルスが原因となる疾患はどれか。,ラッサ熱,ベネズエラ出血熱,腎症候性出血熱,マールブルグ病,Bウイルス病,4,4,マールブルグ病
58,70,A,70-A-058,母子間の免疫移行に関する記述として正しいのはどれか。,サルではIgAが胎盤を介して移行する。,ブタではIgGが胎盤を介して移行する。,ウマの初乳では移行抗体の主体がIgGである。,ウシの初乳では移行抗体の主体がIgAである。,ブタの常乳では移行抗体の主体がIgGである。,3,3,ウマの初乳では移行抗体の主体がIgGである。
59,70,A,70-A-059,吸血昆虫が生物学的伝播を行う原虫はどれか。,タイレリア(Theileria sp.),バベシア(Babesia sp.),イソスポーラ(Isospora sp.),リーシュマニア(Leishmania sp.),サルコシスチス(Sarcocystis sp.),4,4,リーシュマニア(Leishmania sp.)
60,70,A,70-A-060,成虫が牛の大腸に寄生する線虫はどれか。（2つ選びなさい。）,ネマトジルス(Nematodirus sp.),牛鉤虫(Bunostomum phlebotomum),クーペリア(Cooperia sp.),牛腸結節虫(Oesophagostomum radiatum),牛鞭虫(Trichuris discolor),5,"4, 5","牛腸結節虫(Oesophagostomum radiatum),牛鞭虫(Trichuris discolor)"
61,70,A,70-A-061,生活環において2つの中間宿主を必要とする条虫はどれか。（2つ選びなさい。）,有線条虫(Mesocestoides lineatus),日本海裂頭条虫(Diphyllobothrium nihonkaiense),方形条虫(Raillietina tetragona),大条虫(Anoplocephala magna),胞状条虫(Taenia hydatigena),1,"1, 2","有線条虫(Mesocestoides lineatus),日本海裂頭条虫(Diphyllobothrium nihonkaiense)"
62,70,A,70-A-062,長径が100 μm以上の虫卵を産出する吸虫はどれか。（2つ選びなさい。）,膵蛭(Eurytrema pancreaticum),肝蛭(Fasciola hepatica),壺形吸虫(Pharyngostomum cordatum),肝吸虫(Clonorchis sinensis),横川吸虫(Metagonimus yokogawai),3,"2, 3","肝蛭(Fasciola hepatica),壺形吸虫(Pharyngostomum cordatum)"
63,70,A,70-A-063,マダニが属する目はどれか。,無気門目,隠気門目,前気門目,中気門目,後気門目,5,5,後気門目
64,70,A,70-A-064,セルカリアが終宿主に経皮感染する吸虫はどれか。,日本住血吸虫(Schistosoma japonicum),日本産肝蛭(Fasciola sp.),大平肺吸虫(Paragonimus ohirai),移睾棘口吸虫(Echinostoma cinetorchis),Calicophoron calicophorum(双口吸虫類),1,1,日本住血吸虫(Schistosoma japonicum)
65,70,A,70-A-065,メトロニダゾールが有効な原虫はどれか。（2つ選びなさい。）,クルーズトリパノソーマ(Trypanosoma cruzi),ジアルジア(Giardia intestinalis),赤痢アメーバ(Entamoeba histolytica),ネオスポラ(Neospora caninum),ロイコチトゾーン(Leucocytozoon caulleryi),3,"2, 3","ジアルジア(Giardia intestinalis),赤痢アメーバ(Entamoeba histolytica)"
66,70,A,70-A-066,"先天性心疾患の慢性化により肺高血圧が生じ、右-左短絡となりチアノーゼを
示す状態を指す症候群はどれか。",洞不全症候群,ホルネル症候群,アイゼンメンガー症候群,ウォブラー症候群,ネフローゼ症候群,3,3,アイゼンメンガー症候群
67,70,A,70-A-067,犬と猫の肝機能評価に有用な血液化学検査の項目はどれか。（2つ選びなさい。）,ALT,AST,ALP,総胆汁酸,NH,5,"4, 5","総胆汁酸,NH"
68,70,A,70-A-068,EBM(evidence-based medicine)に関する記述として適切なのはどれか。,獣医療では経験が第一でありEBMの重要性は低い。,EBMは絶対的なものであり過去の経験は無視してよい。,EBMは治療時に利用するもので診断時には用いられない。,専門家の意見はエビデンスとはならない。,前向き試験の結果は後ろ向き試験の結果よりエビデンスレベルが高い。,5,5,前向き試験の結果は後ろ向き試験の結果よりエビデンスレベルが高い。
69,70,A,70-A-069,治療目的で希釈せずに静脈内投与してはならない注射液はどれか。,50%ブドウ糖液,15%塩化カリウム液,8.5%グルコン酸カルシウム液,0.9%塩化ナトリウム液,20%脂肪乳剤,2,2,15%塩化カリウム液
70,70,A,70-A-070,馬においてセルロースはどこで分解されるか。（2つ選びなさい。）,結腸,空腸,回腸,胃,盲腸,2,"1, 5","結腸,盲腸"
72,70,A,70-A-072,"X線側方像で胸腔内気管が背側に変位していた。原因として適切でないのはど
れか。",前縦隔部腫瘤,右心拡大,左心拡大,食道拡張,心基底部腫瘍,4,4,食道拡張
73,70,A,70-A-073,企図振戦は主にどの部位の障害によって生じるか。,大脳,間脳,小脳,脊髄,末梢神経,3,3,小脳
74,70,A,70-A-074,周術期疼痛管理に関する記述として適切なのはどれか。（2つ選びなさい。）,術後からより術前から鎮痛を開始した方が効果的と考えられる。,モルヒネやフェンタニルは呼吸抑制が強いので術中には使用しない。,作用機序の異なる鎮痛薬の組み合わせ使用は避ける。,非ステロイド系抗炎症薬を用いると全身麻酔薬の必要量が1/4程度まで減少する。,局所麻酔薬による神経ブロックは効果的である。,2,"1, 5","術後からより術前から鎮痛を開始した方が効果的と考えられる。,局所麻酔薬による神経ブロックは効果的である。"
75,70,A,70-A-075,"犬の歩行検査時に頭部の上下運動(点頭運動)が認められた。最も疑われる病
変部位はどれか。",頭部,頚部,前肢,腰部,後肢,3,3,前肢
76,70,A,70-A-076,"腫瘍と特徴的な随伴症候の組み合わせとして適当でないのはどれか。
腫瘍　－　随伴症候",インスリノーマ 　－　低血糖,肺腫瘍 　－　肺性肥大性骨症,上皮小体腺腫 　－　低カルシウム血症,セルトリ細胞腫 　－　雌性化,胸腺腫 　－　重症筋無力症,3,3,上皮小体腺腫 　－　低カルシウム血症
77,70,A,70-A-077,起立困難を特徴とする牛の疾患はどれか。,ケトーシス,乳熱,第四胃変位,子宮内膜炎,乳房炎,2,2,乳熱
78,70,A,70-A-078,プロジェステロンに関する記述として適切なのはどれか。（2つ選びなさい。）,主として副腎で産生される。,子宮内膜を増殖させる。,子宮自発運動を抑制する。,オキシトシンに対する感受性を向上させる。,視床下部-下垂体軸に対して促進的に作用する。,3,"2, 3","子宮内膜を増殖させる。,子宮自発運動を抑制する。"
79,70,A,70-A-079,"直腸検査で触知する事項のうち牛の妊娠判定に用いるのに適切でないのはどれ
か。",黄体,羊膜嚢,胎膜スリップ,子宮動脈震動,胎子,1,1,黄体
80,70,A,70-A-080,雄馬が頚を伸ばして頭を上げ、上唇をそらし歯を露出させる行動はどれか。,フラッギング,フレーメン,マウンティング,ライトニング,ロードーシス,2,2,フレーメン
1,71,A,71-A-001,内皮絨毛(膜)胎盤をもつ動物はどれか。,牛,馬,豚,犬,ウサギ,4,4,犬
2,71,A,71-A-002,哺乳類家畜における筋に関する記述として正しいのはどれか。,咬筋は顔面神経に支配される。,大円筋は前肢帯筋の1つである。,浅指屈筋は末節骨に停止する。,腓腹筋は足根関節を伸展させる。,外肋間筋は呼気性筋である。,4,4,腓腹筋は足根関節を伸展させる。
3,71,A,71-A-003,呼吸器に関する記述として正しいのはどれか。,鶏の気管軟骨は完全な輪状を示す。,鶏の喉頭は披裂軟骨を欠く。,牛の左肺には副葉が認められる。,牛の肺は7葉からなる。,馬では気管分岐部より前で気管の気管支が出る。,1,1,鶏の気管軟骨は完全な輪状を示す。
